"","text","time","sentiment"
"11","Шикарный, приятный, и, довольно таки, интригующий сериал.  Если вникнуть во все происходящее то затянет с головой. И, если говорят. по мотивам. то это не должно быть прям как в книге, а так уж как видит режиссер и сценаристы которые надеялись, наверняка, снимая этот сериал, что критики. или кретины, которые якобы прочитали книгу, имели хот каплю уважения к труду людей которые делали этот прекрасный сериал, и к гениальным идеям Кинга. 8 из 10. моя оценка.","2013-09-11T03:51:39+03:00","positive"
"12","первые два сезона отличные, с нетерпением ждал выхода след. серии! 
посмотрев первую серию третьего (еле досмотрев). понял, что начинается какая то дичъ...","2015-06-30T19:01:23+03:00","positive"
"13","я обожаю Кинга, поэтому начал смотреть этот сериал сразу как только он вышел.
скажу что после 5 серий просмотра, дальше я этот нудный, без интриги, сопливый сериал смотреть не буду.
очень грустно , сидишь думаешь о своем, стимула смотреть дальше нет.","2013-07-30T14:22:20+03:00","negative"
"14","Весьма интересный сериал как по идеи так и по реализации.
К окончанию сезона сериал дает слабинку,а интрига и накал заставляющий смотреть его дальше  
слабеет.
Я окончанием был разочарован и надежда на следующий сезон.
У меня такое впечатление что часть сценаристов хотят сделать из сериала сказку-фентези,а вторая научную фантастику,а еще есть кто-то третий который им напоминает типа:
-Пссссс,пацаны вы это не забывайте сериал у нас по Кингу . 
Как-то так.","2014-06-25T00:15:31+03:00","positive"
"15","Герметичный купол который не пропускает даже звук, а ветер нежно развивает у всех волосы))))много глупых ляпов........а в общем норм...","2014-04-22T11:40:12+03:00","positive"
"16","Ну как Вам сказать, смотрел с удовольствием т.к. не было ничего свежего. Потом затянуло и нашел свой смысл в сериале, в общем понравился, хоть затянут и ляпы есть","2013-09-22T16:34:24+03:00","positive"
"17","Начнём с того, что здесь за основу взяли лишь зародыш идеи книги Кинга. Городок, имена, сама ситуация - на этом, пожалуй, общее и заканчивается.
У Кинга повествование более жёсткое, в этой манере, мне кажется, смогли бы снять мини-сериал HBO или какой-нибудь английский канал. У них сериалы такого рода хорошо получаются, жести больше, да и вообще в их ""вкусе"")
Но если абстрагироваться от первоисточника, то сериал вполне смотрибельный. Особенно в летний период. 
Надеюсь, что дальше второго сезона не растянут.","2013-08-28T19:22:57+03:00","positive"
"18","Как по мне - сериал довольно интересный, а что касается несоответствия с книгой, так на то это и экранизация, что бы было интересно то что на экране, ясно что режиссер может что-то  добавить, что-то изменить. Вспомните ""1408"" и скажите как бы смотрелся фильм, если бы его снимали четко по сценарию рассказа, в котором нет ни волны, сваливающейся со стен, ни многих других эпизодов которые интересно Смотреть!","2013-08-07T06:03:16+03:00","positive"
"19","Жаль но похоже сериал не дотягивает до книги.Первая серия очень неплохо,а вот со второй начинается мыло... вообще не о чём.Сценарист и режиссёр ПРОСНИТЕСЬ,иначе зритель вам не простит!)))","2013-07-04T01:03:33+03:00","negative"
"20","Книгу я (еще) не читала. Поэтому могу трезво оценивать сериал, как СЕРИАЛ, а не как точное соответствие с книгой. Посмотрев весь сезон полностью - я уже год жду продолжения. Очень увлекательный сюжет и события развиваются стремительно и непредсказуемо. Как СЕРИАЛ - очень достойный. 9,5 из 10! И подобные вещи с книгой сравнивать не стоит. Лучше воспринимать это, как что-то новое.","2014-05-16T12:47:59+03:00","positive"
"21","Звиздец...ну и финал! И так слабоват сериал и развязки никакой - знал бы не начинал смотреть ...очень огорчила последняя серия(","2014-09-26T14:28:12+03:00","positive"
"22","Меня начинают нервировать люди пишущие, что книга лучше. Создается ощущение низкого развития таких людей, ибо умные уже давно поняли, что книга лучше чем экранизация и это правило. А вот когда наоборот - это исключение. 

Книгу не читал, потому сериалом доволен. Хотя нет, я все время нахожу смешной игру и поведение актеров, их какие-то противоречивые(а порой идиотские) поступки, НО! Сериал интересный, затягивает, и его ""твою мать, что происходит"" больше подстрекает смотреть дальше, а не вызывает желание отключить его поскорее. Конечно, если сравнивать с Во все тяжкие, то слабый сериал. Но смотреть и получать удовольствие однозначно можно. Рекомендую смотреть несмотря на достаточно незамысловатое(возможно даже слишком мыльное и тинейджерское) психологическое состояние героев.","2015-05-05T22:19:17+03:00","positive"
"23","Скажу сразу,книгу не читала!Но сериал очень понравился,не обычный..А тема вампиров,оборотней,зомби и прочей туфты уже достала..Хоть есть ,что посмотреть..И все мы разные -не нравится не смотрите,довольствуйтесь книгой..","2013-09-18T00:57:28+03:00","positive"
"24","Идея хорошая)   вот лисбиянки негритоска с белой и типа дочкой это слишком, что за пропаганда извращений(","2013-07-03T18:06:09+03:00","positive"
"25","Мне все понравилось, сюжет интересный, буду ждать продолжение! а все те кто постоянно ищут недостатки, в принципе не оценят этот сериал, так как уже настроены ко всему скептически.","2013-09-24T10:14:02+03:00","positive"
"26","так среднечок   6  из  10 . посмотрел от нечего делать . не понравилась концовка - отпялился 13 серий и чего ----- додумай сам ... ...","2013-10-13T19:09:27+03:00","positive"
"27","Не знаю почему тут многие так плюются. Как по мне, то снято хорошо. Не нужно пытаться сравнивать фильмы с книгами. Фильм никогда не сможет передать то, что всплывает в воображении читателя. А сериал уж точно получше за многие другие современные. И не напрягает наличием кучи сезонов по 50 серий","2014-01-05T18:17:14+02:00","positive"
"28","Сказано в отзывах очень много и плохого и хорошего, не понимаю людей, которым этот бред понравился. Дальше спойлеры. У коровы из внутреннего устройства организма присутствует только хребет. На протяжение всего сериала не покидает чувство что в этом городе живет 50 человек и только 20 из них обладают даром речи. Все крайне спокойные и безвольные овощи которые мирно проводят все свободное время в кафе, у них у всех заряжены телефоны и работают холодильники, ни паники, ни забастовок ни вообще какой-либо истерии, депрессии и хаоса. Но это еще ладно, дальше хуже.  После сброса бомбы, за куполом была выжженая земля на много км....спустя пару серий об этом забыли и там снова красивая природа...Меня очень удивило как это дом пацана рассыпался при магнитизме(видимо из него все гвозди вылетели) а дом Джулии (тоже у границы) стоит целый и возле купола не набросано всякого хлама. Да и маловато-металла притянуло, учитывая что магнетизм был такой мощи что вырвал колокол из церкви. Очень примечательно еще, что в это время металлом привалило убежище Большого, КАК?ПОЧЕМУ?ЗАЧЕМ? он же в земле и не имеет отношение к стенам купола.Джулия вообще крутая чика, после огнестрельного ранения на след. день в озеро ныряла брасом девку спасать, а после того как ей ногу проткнул кусок железа она ходит не прихрамывая. Да и замерзали они прикольно.....все в пиджаках ходят и дрожат, кто-то уже совсем замерз, при этом все без шапок и теплых курток! ДРОВА? -НЕ, НЕ СЛЫШАЛИ. ,На озере лед кусками а не скованная гладь....а у Барби капли пота на лбу....на след день после мороза-убийцы летняя зелень газонов и деревьев не пострадала....Для меня апогеем всего идиотизма стало то, что когда купол начал сжиматься, то это выглядит так как будто с краю кто-то сгреб асфальт немного. Вообще-то купол сжимается со всех сторон, и под землей соответственно тоже, выталкивая почву вверх. Там бы уже через 10см диаметра пипец всей поверхности пришел а не кучка асфальта у границы... все, больше не могу смотреть этот бред","2015-07-21T16:31:34+03:00","negative"
"29","Серіал дуже затягуючий, з початку подивився три перших серії, на другий день решта 10. Хочеться вже другого сезону.","2013-11-16T23:00:45+02:00","positive"
"30","увы, данное произведение кинга не читал, но сериал начинает утомлять. затирается интерес, да и характеров, сюжетных линий - раз-два и обчелся. не знаю сколько серий/сезонов запланировано, но будь я продюсером - второй сезон бы ""зарубил""","2013-09-13T09:25:22+03:00","negative"
"31","книгу правда не читал а значит и разочарование такое не получил . но в любом случае при чем тут книга ? сериал то не по книге а по ее так называемому сюжету , типа сериал это одно а книга это другое . что в итоге смотрим сериал и читаем книги )))
сам сериал довольно таки нормальный , но правда в основном самый смак это в первой серии а потом просто события . и как всегда у Кинга конец просто ""дорисуй его сам"" . было интересно чем же закончится но вот такого конца просто не ожидал . облом . так что было бы не плохо еще пару серий для оконцовки )))","2013-09-29T12:05:25+03:00","positive"
"32","Начало справді непогане, хоч книжки не довелось прочитати тому  і порівнювати не можу їх між собою, але загалом  я думаю це вийде добротний серіал.","2013-07-18T22:35:39+03:00","positive"
"33","Не вытерпел этой наивной тупости!!!!! Только америкосы могут снимать такую лажу!!!!! Сопли, сопли, сопли, сопли..................!!!","2013-07-26T09:19:24+03:00","negative"
"34","2 серія-пожежа,халтура - капець.Хоча б раз подивилися б як горить будівля(дерев’яна),дідок не зміг вибратися із халупи яку ж сам підпалив і вона зайнялася як вогнище після літру бензину,відра ємністю в літр і 100 чоловік не могли відрами загасити невеличкий будинок.Режисеру  потрібно хоч іноді якщо і не бачити в реалі те,що хоче зняти,а хоча б для початку подивитися відео в ютубі. Хоча ідея непогана.","2013-08-28T23:30:49+03:00","positive"
"35","Я не читал книгу, видимо только поэтому мне сериал очень понравился и я не понимаю отрицательных отзывов)))","2013-09-07T19:04:38+03:00","positive"
"36","Довольно таки интересный сериал. Хорошая задумка, создать сериал по роману С. Кинга. Конечно, события сериала немного отличаются от событий книги, но в целом сериал получился хороший и возможно скоро станет очень популярным. Рекомендую к просмотру.","2013-09-10T13:14:52+03:00","positive"
"37","Политкорректное фуфло с кретинами и лесбиянками. Актерский состав неплох, но роли им выписаны отвратно. Читайте люди книгу.","2013-09-19T23:21:11+03:00","negative"
"38","Сама концепция неизведанного и загадочного конечно увлекает, но в остальном стоолько глупостей просто мрак. Да и постановка халтурная. Придётся досмотреть только из-за любопытства чем закончится.","2013-09-21T22:11:51+03:00","negative"
"39","сочувствую всем кто от сериала ожидал суперр экшина это кинг ) все кто читал кинга и ему ша  не понравилось почитайте 2 книги исход)","2013-10-22T00:43:12+03:00","positive"
"40","Первое впечатление о фильме ""оцтой"". Подумать , то... люди которых накрыли крышкой.. и что в этом такого интересного? Да не все так просто. Мистика, загадка, реакции людей на происходящее. Скажу так посмотрел первую серию, решил посмотреть потом вторую и уже со второй серии втянулся в сериал. Нравиться +1. Спасибо за анг. версию!","2013-09-27T22:33:17+03:00","positive"
"41","честно говоря сильно раздражают отзывы ""книгу не читал,но.."" - Так прочитай!
если кто-то не читал  Анну Каренину,то на фильме это не сильно отразится.
Сюжет кардинально изменен,и я не знаю что будет дальше,но получается ересь.
Сам начал смотреть,не выдержал - прочитал книгу.
Вывод: читайте книги господа.
интерес к сериалу пропал напрочь.","2013-10-03T14:33:51+03:00","negative"
"42","для поклонников Кинга фильм пойдёт... атмосферности пока нет, актёры неплохие...больше всего запомнилось : на 25-26 (минПроф. (BaibaKo.TV)  2 серии ""полицайка"" очень круто выразилась(матом)....","2013-07-03T11:07:37+03:00","positive"
"43","Не знаю, мне сериал понравился, смотрел весь день до 2х ночи. Книгу не читал сравнивать не могу, может книга и лучше. А для тех кто не читал данный роман рекомендую.","2013-11-11T11:51:38+02:00","positive"
"44","Сюжет этого сериала похож на пародию сюжета из книги, но в целом, если смотреть как отдельный сюжет - норм","2014-06-24T13:30:02+03:00","positive"
"45","Серіал подобається..........

Рекомендую!!!

3 сезон....де ти???)))

Дата выхода Под куполом 3 сезон — июнь 2015 года.","2014-12-07T09:16:41+02:00","positive"
"46","Книгу не читал,но сериал супер.
Мистика,триллер,шутки тоже присутствуют))
Интересный сюжет очень,советую всем.
Актеров хорошо подобрали...","2015-01-11T04:45:38+02:00","positive"
"47","Сюжет просто бомба, но игра актеров это отдельная история...полный провал. Кое-как спасает ситуацию актер который играет Большого Джима..все остальные, как-будто Ералаш смотришь...поэтому сериал и закрыли видимо, хочешь рейтинги, вкладывай бабки в хороших, опытных актеров. На одном Дине Норрисе, далеко не заедешь...","2015-09-08T00:25:56+03:00","positive"
"48","Самое Главное чтобы не повторилась история с lost'ом, как для меня слишком много интриг, непонятной мистики, личных историй, и стало как то скучновато, бросил где то на 3 сезоне.
А этот сериал прикольный!","2013-07-06T12:27:30+03:00","positive"
"49","Уже другий сезон як дивлюсь цей серіал, радує своєю інтригою і нагнітаючим розвитком подій, в загальному рекомендую.","2014-07-07T21:29:15+03:00","positive"
"50","тут многие пишут что первая серия отличная и многообещающая, а дальше идет калл. так вот, если вы ""это нудятину"" называете многообещающим, то 2 серию даже начинать смотреть не буду. хочется верить что книга и вправду интереснее","2013-11-06T05:05:27+02:00","negative"
"51","Просмотрел 1 сезон ещё зимой - обалдел. Ждал, когда же второй будет. Было очень интересно. Сюжет, актёры, спецэффекты...всё на уровне. Посмотрел 1-ю серию второго сезона - возник только один вопрос. Что вообще происходит? Игра...нет, перемещение актёров по кадру с эмоциями камня, идиотские ляпы...(-""Я ищу девочку. На вид 17 лет, тёмные волосы"" -""Я её видела"" - это что-то типа -""Я ищу колесо, круглое"" -""Я его видела""; а труп латинки-копа - сама закрывает глаза и на шее явно видно пульс; избирательный магнит - пистолеты, ключи, наручники притянул, а бляхи ремней, часы... Не понравились? Про гвоздь сквозь руку и перерезание верёвки толщиной в большой палец одним махом вообще молчу...).
Впечатление о серии сложилось будто серий 5-7 обрезали и скомкали рандомные части. Не хотелось бы ТАКОГО продолжения.
Поставлю палец вверх за первый сезон и авансом в надежде на адекватное продолжение.","2014-07-06T20:43:25+03:00","positive"
"52","Чет очень много не сходится с книгой, много добавили, много убрали. Смотрю все же, но разочарован очень:(","2013-07-26T01:28:06+03:00","negative"
"53","Интересная задумка но реализация не очень. Все эти американские тупости просто убивают. Множество таких тупых не логических моментов от которых плюёшься в монитор, но всё равно смотришь.","2014-09-30T16:54:28+03:00","positive"
"54","Хотите наглядно узнать, что такое ""танци по граблям""?
Добро пожаловать на просмотр «Под куполом»
Тут прощают убийц и насильников, ставят их в правящее звено. Но они хотят убить еще больше, что раскрывается. Но их боготворят еще больше, прощают, что ведет к очередному кругу маразма. И все это оправдывается одной фразой ""Купол бы этого хотел"" (С), хотя не учитывается логика жителей Честерз Милл. Купол контролирует мозг всех жителей и оболванил главных героев? Что стоит за этим безумием?
Все это и еще больше ахинеи, смотри в сериале «Под куполом»","2015-08-24T14:32:43+03:00","positive"
"55","Сначала, посмотрел 2 сезона т/с ""Под куполом"" - очень даже не плохо(радует актерский состав), хотя сериал очень предсказуемый... 
Потом, начал читать книгу... Вообщем, сюжеты разные, герои тоже. Только имена те же и город тот же=)))
Советую: смотреть сериал и читать книгу... две разные истории, которые чуть-чуть похожи)))","2015-01-09T22:31:26+02:00","positive"
"56","Очень хорошо снято, захватывающе и интригующе. Но вот прикол, откуда под куполом взяться ветру??? а он присутствует во многих сериях.","2013-09-10T22:35:06+03:00","positive"
"57","Сериал на 3ку по 5ти бальной,но посмотреть можно.И почему во всех Американских фильмах сериалах показывают панику хаос и прочую суету.Это уже надоело","2013-12-26T19:37:30+02:00","positive"
"58","Примитивный сериал. В начале интригуют, но на этом всё, дальше идёт обычная мыльная нудистика. В ходячих мертвецах хотя бы зомбей мочат каждую серию.","2013-11-04T18:08:06+02:00","negative"
"59","Очень все по Кинговски, достойное начало, нудноватая серединка и впечатляющий финал !!!!
Любителям Стивена смотреть ...","2013-10-07T19:42:27+03:00","positive"
"60","Нормальный сериал!
Минус в том что он отлечеться книгой они совсем разные!
Плюс интересно что будет когда откроеться купол!
Интерес в том что когда откроеться купол он был: прозрачным,чорным,белым!","2013-09-29T18:42:46+03:00","positive"
"61","Фильм довольна таки интересный.Как и в других фильмах есть скучные моменты,но скучать не даёт.ребят,смотрите,не пожалеете))","2013-09-28T19:17:00+03:00","positive"
"62","Очень хорошо снято, захватывающе и интригующе. Но вот прикол, откуда под куполом взяться ветру??? а он присутствует во многих сериях.","2013-09-16T20:53:22+03:00","positive"
"63","Сериал потрясающий, завораживает с первых минут и оторваться просто невозможно. Сериал не берет именитым актерским составом, нет музыки Рамина Джавади или Ханца Циммера, но есть    
потрясающая игра актеров и гениальный сюжет Стивена Кинга, который очень удачно показали нам режиссеры сериала. Сериал, однозначно, обязателен к просмотру.","2013-09-15T01:40:51+03:00","positive"
"64","Просмотрел весь первый сезон за 2 дня, не мог оторваться, но наверное из-за того, что книгу не читал, но поскольку второй сезон выходит летом 2014-го то начну читать.)
П. С. Чем-то напомнило минисериал ""Потерянная комната"".","2013-09-13T02:38:41+03:00","positive"
"65","До того як подивитися серіал, я гадав, що ""Під куполом"" означає в переносному сенсі. Але коли я побачив, що це насправді КУПОЛ, то я дуже здивувався","2013-08-24T16:46:44+03:00","positive"
"66","Ой ну и намудрили они... В книге вообще и близко не такой сюжет. Хотя сериал норм, смотреть можно. В целом понравился","2013-08-27T21:39:30+03:00","positive"
"67","Сериал просто космос 
после его просмотра мне хочется смотреть его всё больше и больше
с нетерпением жду 2 сезон","2014-01-10T09:30:33+02:00","positive"
"68","Сериал очень классный, всем смотреть!! после серии пятой начинаеться самое то, смотрите не пожалете)","2013-08-07T18:00:52+03:00","positive"
"69","Согласен очень быстрый сериал если так дальше пойдёт то сюжет уже будет не интересный,судя по всему 12 серий это максимум,мне понравился весёлый не даёт скучать в каждой серии находиться что то своё!","2013-08-06T22:58:03+03:00","positive"
"70","Я как любительница жанра и творчества Кинга сразу влюбилась в сериал. Он хоть и не снят полностью по книге, но он однозначно хорош, а те кто оставляют ничем не подкрепленные коментарии в духе ""отстой"" и т.п просто отбивают у людей желание смотреть сериал, лучше просто посмотрите и делайте свои выводы, а не слушайте этих критиков =)","2013-08-06T14:00:00+03:00","positive"
"71","Я, как человек который не читал книгу, считаю, что сериал то отличный! Советую тем кто прочитал книгу, смотреть этот фильм - как нечто не связанное с этой самой книгой.","2013-07-30T19:23:35+03:00","positive"
"72","Интрига и намек на интересный сценарий, в сериале, есть!!!
 Главное чтоб не сделали мыло или не прегнули.
 Время покажет)))","2013-07-23T03:19:16+03:00","positive"
"73","Дивився колись серіал ""Flashforward"". Цей серіал нагадує мені його своєю непередбачуваністю та загадковістю, постійно відбуваються події, речі, про які навіть не здогадуєшся.
Рекомендую! =) Жаль, що спершу побачив серіал, а не книгу Стівена Кінга.","2013-07-15T20:36:03+03:00","positive"
"74","Отличный задумка,хороший сериал должен получиться.
Теперь я буду испытывать ''Это чувство'' когда посмотрел все серии и ждешь новых)","2013-07-13T19:47:27+03:00","positive"
"75","Красиво снято, замечательные спецэффекты, прекрасная игра, не затянуты события! Как картина - бесподобно, обалденно и просто супер!!! Претензий нет.  Но... Или книга, или сериал. Не советую сначало читать, а потом смотреть. Кто читал книгу С.Кинга, тот меня поймёт. Из книги взято только саму идею и название, а остальное уже дело рук и фантазии самих режиссёров. Я сначало расстроилась, так как являюсь поклонницей С.Кинга, а потом попробовала воспринять, как совершенно другую историю. Серал - то, ведь действительно, классный! И заслуживает Вашего просмотра!","2013-07-11T23:12:45+03:00","positive"
"76","как всегда бла бла бла.какойто спецназовец.журналистка .псих .слетевший с катушок коп .лох -подросток его раздражающий друг в дыбильной шапочке и все они решают свои проблемы которые у них могли бы возникнуть и без купола.а вот на протяжении трёх серий мы так и неузнали как и нафига он нужен етот самый купол кроме фразы про розовые звёзды .мне кажется что создатели запороли сериал","2013-07-10T21:41:04+03:00","negative"
"77","Это лучший сериал из всех которые я смотрел. Захватывающий, интересный, блестательная игра актеров и интиреснейший сюжет. Может 1 серия не очень захвативающая но последние 5 серий классные, напряженные. Поверьте этот сериал ЩЕДЕВР.","2014-01-03T00:14:33+02:00","positive"
"78","В принципе интересно, но затянуто, и ляпов хватает. Книгу читал очень давно, надо бы освежить память, перечитать. Что-то мне кажется что после нее желания смотреть второй сезон не будет.","2013-11-08T03:44:11+02:00","positive"
"79","что-то непонятно совсем чем всё кончилось.купол так и остался,никто не помер,а он посветлел...какое то чувство незавершенности осталось","2014-02-18T13:09:32+02:00","positive"
"80","После просмотра первой серии был в восторге. После просмотра 1 сезона был еще в большем восторге. Посмотрел 12 серию 2 сезона, разочарован. Второй сезон поменял впечатление о сериале в худшую сторону. Такое ощущение, что начинают придумывать что попало лишь бы продлить картину.","2014-09-24T15:39:51+03:00","positive"
"81","Это не Кинг, а жалкая пародия. ФУ! Сплошное разочарование. Кто читал книгу, тот поймёт. С первых секунд несоответствие книге..(","2015-10-18T22:34:13+03:00","positive"
"82","Те, кто читал книгу - не ждите соответствий. За основу из книги взяты лишь имена и, естественно, само событие - опустившийся на город купол.
Первые два сезона смотреть было действительно интересно, игра актеров, развивающийся сюжет - ну всё! . К третьему пошла полная мура. 
Очень жаль, что из-за нехватки идеи снимают чепуху. :(","2015-09-10T17:16:27+03:00","positive"
"83","Загалом здається, що по рейтингу серіал переоцінили. Не спорю, він цікавий хоча і надто передбачуваний. 7/10","2015-08-22T11:53:30+03:00","positive"
"84","Скажу так, сериал плохой, но плохой это слабо сказано - он ужасный. Все действия и в целом сюжет и игра актеров настолько притянуты за уши что аж тошнит! Я думал что только в странах СНД бывают такие малобюджетные высеры... Жалко что это произведение Стивена Кинга вообщем,  не дай бог эти уроды будут Темную Башню снимать в таком же стиле, я не переживу. Написав это я посмотрел до 3-го сезона 4-й серии, скажу честно одна серия хуже другой, бывает даже хочется отвернутся и закрыть уши, если вы уже так хотите посмотреть этот сериал то готовьте себе сразу пакеты для сблевывания, на трезвую голову вообще лучше не смотреть, я очень жалею о потерянном времени. Если бы можно было поставить 1000 минусов я бы поставил не раздумывая, такого редкого кала я давно не встречал...","2015-07-16T03:12:21+03:00","negative"
"85","Жду 3 сезон. Книгу не читал и даже не знал что есть такой замечательный сериал. Когда уже было 2 полных сезона решил посмотреть что и как. 2 дня, целых 2 дня не могу оторваться от сериала. Игра актеров, задумка все на высшем уровне. Купол, это вообще вещь, в сериале показано как власть не может разобраться с ним, будь она внутри или снаружи.","2015-06-15T00:26:48+03:00","positive"
"86","Вообще-то, этот сериал и не должен быть по книге. Просто взяли самую идею с куполом. 
Не должно же быть все, как в книге. Режиссер свой сценарий придумал и молодец.","2014-04-30T21:19:41+03:00","positive"
"87","Примитивная чушь 20-го века... В начале интригует, захватывает, но на этом всё, дальше идёт обычная мыльная Санта Барбара, с бесконечными тупыми диалогами... Не ведитесь на ""это"", лучше звините Солу )","2015-03-23T19:17:55+02:00","negative"
"88","Замечательный сериал! второй сезон намного лучше первого! поднял планку так сказать)   если любите мистику  смотреть обязательно))  в основе лежит книга Стивена Кинга, что делает сериал более интригующим))  с нетерпением жду третий сезон)))","2015-03-16T20:49:11+02:00","positive"
"89","Только лишь услышав короткое описание фильма от друга, я решила, что обязана его просмотреть!!!И не ошиблась)
Книгу не читала, скажу сразу. Задумка очень необычная, интересная. Именно в такой ситуации можно понять истинную сущность людей,которые тебя окружают.
Жду с нетерпением новых серий)","2014-10-07T00:02:18+03:00","positive"
"90","Вопросы, вопросы, вопросы... Мистический сериал полностью оправдывает жанр - ничего не понятно! Но, зачастую, мистическая составляющая теряется из-за акцентирования внимания на особенностях поведения людей в замкнутом пространстве. Количество тайн, маньяков и высокопарных речей на квадратный метр зашкаливает. Куча неточностей и затянутой бытовухи- не мудрено, ведь из одной книги надо высосать несколько сезонов сериала (подозреваю катастрофическое несоответствие того и другого). Книгу не читала, поэтому не могу сравнивать, но почерк Кинга заметен. Славы ""Lost"" или ""Игры престолов"" этому сериалу не видать, но посмотреть его можно.","2015-06-11T04:16:42+03:00","positive"
"91","Книгу не читала. 1-й сезон сериала понравился, т.к. режиссеры все-таки смогли выдержать интригу. Во 2-ом началась несуразная муть, но все-таки осталось желание узнать чем все закончится. В общем впечатление и сериале осталось положительное.","2014-09-23T17:53:13+03:00","positive"
"92","серіал дуже сподобався, хоча особисто мене, він не вразив з першої серії... друга та третя вже взяли своє, і втянули в сюжет))) дуже цікаво, жду кожну серію!)","2014-08-31T13:30:54+03:00","positive"
"93","По правде меня заинтриговала только первая серия, а дальше смотрел с небольшой интригой. После первого сезона можна сказать что сюжетместами не продуман и есть неуместные сцени.

8 с 10","2014-08-03T20:08:49+03:00","positive"
"94","Меня подтолкнуло на просмотр этого сериала только то, что он снят по мотивам романа знаменитого и неповторимого писателя Стивена Кинга. Просмотрев все киноэкранизации его произведений, думал что испортят и это, так как из всех снятых фильмов по Кингу можно насчитать одну или же две достойных к просмотру киноленты, и сериал Под Куполом, я отнесу к данному количеству. Действия сериала развиваются очень быстро и не побоюсь выразиться экстремально, так как за восемь дней, у них столько всего происходит, что уму не постижимо. 
Эмоциональные разборки, нервы, конфликты, стрельба, взрывы, разрезанные коровы, это все здесь придает свою атмосферу сериалу. Сразу же возникает вопрос что это такое, и откуда взялся этот купол? Но с каждой серией тебе подают маленькие кусочки пазлика, картина которого только сложится скорее всего в последней серии, и не факт что в конце сериала нам расскажут что это было, и для чего он был нужен. Сериал очень хороший и рекомендую просмотреть каждому, кому нравится неизведанное. Моя оценка 8 из 10.","2014-07-30T21:36:22+03:00","positive"
